distribution,n,mean,std,p05,p25,p50,p75,p95
intra_episode_frame_pairs,277809,0.8106609582901001,0.13689009845256805,0.5420361161231995,0.730387270450592,0.84000563621521,0.9192677736282349,0.9783557891845703
inter_episode_same_task_means,18912,0.8026129007339478,0.14483071863651276,0.5507060885429382,0.6874201595783234,0.822760820388794,0.9396588355302811,0.9756700843572617
inter_task_means,353041,0.48087191581726074,0.18082210421562195,0.22665342688560486,0.3419951796531677,0.4613793194293976,0.5913021564483643,0.8552932739257812
