variant,distribution,n,mean,std,p05,p25,p50,p75,p95
raw,intra_episode_frame_pairs,277809,0.9072789549827576,0.05171181634068489,0.8084195137023926,0.8774656653404236,0.9168813824653625,0.9462693929672241,0.9736250162124633
raw,inter_episode_same_task_means,18912,0.9064431190490723,0.05641815811395645,0.8006643533706665,0.8734094351530075,0.914019376039505,0.9521423876285553,0.9787116974592209
raw,inter_task_means,353041,0.8193233013153076,0.05565091222524643,0.7270519733428955,0.7836720943450928,0.8195748329162598,0.8549543619155884,0.9143319129943848
A,intra_episode_frame_pairs,257795,0.5018243193626404,0.23811814188957214,0.07663275226950646,0.34315136075019836,0.5246299505233765,0.6834763288497925,0.8499987363815307
A,inter_episode_same_task_means,18912,0.16496001183986664,0.21709616482257843,-0.19749488085508343,0.02124572079628706,0.16411935538053513,0.3119395524263382,0.5256007939577103
A,inter_task_means,353041,0.07042577117681503,0.1658688336610794,-0.1997939646244049,-0.04071241617202759,0.0691566988825798,0.18138544261455536,0.3446956276893616
B,intra_episode_frame_pairs,277809,-0.03343477472662926,0.3523608446121216,-0.537570595741272,-0.3070365786552429,-0.07690136879682541,0.20655423402786255,0.6107320427894588
B,inter_episode_same_task_means,0,,,,,,,
B,inter_task_means,0,,,,,,,
