extractor,fixed_k,n_tasks,mean_kf,cv_kf,mean_cr
uniform_10,True,20,9.990590909090908,0.004637084070642667,0.48796006366216
random_10,True,20,9.990590909090908,0.004637084070642667,0.48796006366216
optical_flow,False,20,2.9925908596528954,0.2194706821664442,0.13609965330945323
attention_dino,False,20,3.569130588177779,0.18661456926542572,0.16296649912845232
frame_diff,False,20,3.5585833618288554,0.1749289260366484,0.16283791236686487
