method,K=4,K=8,K=16,K=32
uniform,0.8089887640449438,0.8146067415730337,0.8258426966292135,0.8370786516853933
random,0.8258426966292136,0.8389513108614232,0.8183520599250936,0.8352059925093633
optical_flow,0.8033707865168539,0.8258426966292135,0.8146067415730337,0.8258426966292135
attention,0.8202247191011236,0.8089887640449438,0.8314606741573034,0.8370786516853933
frame_diff,0.8370786516853933,0.8314606741573034,0.8314606741573034,0.8314606741573034
