baseline,top_1,top_5,mean_cr,mean_n_kf,n_gallery,n_query
frame0_k1,0.7640449438202247,0.9550561797752809,0.04757472454366166,1.0,685,178
mid_k1,0.7696629213483146,0.949438202247191,0.04757472454366166,1.0,685,178
consecutive_k4_start,0.797752808988764,0.9719101123595506,0.19029889817464665,4.0,685,178
consecutive_k8_start,0.8258426966292135,0.9606741573033708,0.38026672533456063,7.997682502896871,685,178
oracle_k1_exists,0.9550561797752809,,,1.0,685,178
oracle_k4_greedy,0.9269662921348315,,,4.0,685,178
