distribution,n,mean,std,p05,p25,p50,p75,p95
intra_episode_frame_pairs,1476528,0.918399453163147,0.046003926545381546,0.8307317197322845,0.8927998542785645,0.9266693294048309,0.9526277780532837,0.9774170309305191
inter_episode_same_task_means,96909,0.9172770977020264,0.05388650298118591,0.8115134239196777,0.8883687257766724,0.9312101602554321,0.9571220278739929,0.9819305419921874
inter_task_means,9536946,0.7883177399635315,0.06857891380786896,0.664067417383194,0.74412502348423,0.7956974506378174,0.8374185562133789,0.8893807381391525
